Year,Rank,Player,Nationality,Position,Club,Points,League,League Rating,League Top Scorer,League Top Assist Provider,League Best Goalkeeper,League Best Player,UCL,UCL Rating,UCL Top Scorer,UCL Top Assist Provider,UCL Best Goalkeeper,UCL Best Player,Continental Cup,Continental Cup Rating,Continental Cup Top Scorer,Continental Cup Top Assist Provider,Continental Cup Best Goalkeeper,Continental Cup Best Player,WC,WC Rating,WC Top Scorer,WC Top Assist Provider,WC Best Goalkeeper,WC Best Player,Other Rating
2024,13,Dani Olmo,Spain,Midfielder,RB Leipzig,86,0,7.21,0,0,0,0,0,7.3,0,0,0,0,1.0,7.77,1.0,0.0,0.0,0.0,,,,,,,8.6
2024,14,Ademola Lookman,Nigeria,Forward,Atalanta,82,0,7.25,0,0,0,0,0,0.0,0,0,0,0,0.0,7.23,0.0,0.0,0.0,0.0,,,,,,,7.42
2024,15,Nico Williams,Spain,Forward,Athletic Bilbao,73,0,7.1,0,0,0,0,0,0.0,0,0,0,0,1.0,7.27,0.0,0.0,0.0,0.0,,,,,,,7.66
2024,16,Granit Xhaka,Switzerland,Midfielder,Bayer Leverkusen,60,1,7.49,0,0,0,0,0,0.0,0,0,0,0,0.0,7.4,0.0,0.0,0.0,0.0,,,,,,,7.37
2024,17,Federico Valverde,Uruguay,Midfielder,Real Madrid,58,1,7.38,0,0,0,0,1,7.1,0,0,0,0,0.0,7.65,0.0,0.0,0.0,0.0,,,,,,,7.19
2024,18,Emiliano Martínez,Argentina,Goalkeeper,Aston Villa,28,0,7.1,0,0,0,0,0,0.0,0,0,0,0,1.0,7.43,0.0,0.0,1.0,0.0,,,,,,,7.06
2024,19,Martin Ødegaard,Norway,Midfielder,Arsenal,16,0,7.67,0,0,0,0,0,7.33,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,7.43
2024,20,Hakan Çalhanoğlu,Turkey,Midfielder,Inter Milan,15,1,7.68,0,0,0,0,0,7.38,0,0,0,0,0.0,7.15,0.0,0.0,0.0,0.0,,,,,,,7.52
2024,21,Bukayo Saka,England,Forward,Arsenal,14,0,7.72,0,0,0,0,0,7.71,0,0,0,0,0.0,7.1,0.0,0.0,0.0,0.0,,,,,,,6.86
2024,22,Antonio Rüdiger,Germany,Defender,Real Madrid,13,1,6.93,0,0,0,0,1,7.08,0,0,0,0,0.0,7.3,0.0,0.0,0.0,0.0,,,,,,,6.83
2024,23,Rúben Dias,Portugal,Defender,Manchester City,8,1,7.21,0,0,0,0,0,7.18,0,0,0,0,0.0,7.3,0.0,0.0,0.0,0.0,,,,,,,7.22
2024,24,William Saliba,France,Defender,Arsenal,8,0,7.04,0,0,0,0,0,6.78,0,0,0,0,0.0,7.08,0.0,0.0,0.0,0.0,,,,,,,6.88
2024,25,Cole Palmer,England,Forward,Chelsea,7,0,7.7,0,0,0,0,0,0.0,0,0,0,0,0.0,6.9,0.0,0.0,0.0,0.0,,,,,,,7.43
2024,26,Declan Rice,England,Midfielder,Arsenal,5,0,7.43,0,0,0,0,0,7.22,0,0,0,0,0.0,7.39,0.0,0.0,0.0,0.0,,,,,,,7.01
2024,27,Vitinha,Portugal,Midfielder,Paris Saint-Germain,5,1,7.49,0,0,0,0,0,7.48,0,0,0,0,0.0,7.35,0.0,0.0,0.0,0.0,,,,,,,7.25
2024,28,Álex Grimaldo,Spain,Defender,Bayer Leverkusen,2,1,7.75,0,1,0,0,0,0.0,0,0,0,0,1.0,7.3,0.0,0.0,0.0,0.0,,,,,,,7.41
2024,29,Artem Dovbyk,Ukraine,Forward,Girona,0,0,7.2,1,0,0,0,0,0.0,0,0,0,0,0.0,6.97,0.0,0.0,0.0,0.0,,,,,,,6.84
2024,29,Mats Hummels,Germany,Defender,Borussia Dortmund,0,0,7.05,0,0,0,0,0,7.35,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,7.33
2025,1,Ousmane Dembélé,France,Forward,Paris Saint-Germain,1380,1,7.75,1,0,0,1,1,7.63,0,0,0,1,,,,,,,,,,,,,7.69
2025,2,Lamine Yamal,Spain,Forward,Barcelona,1059,1,7.79,0,1,0,0,0,7.69,0,0,0,0,,,,,,,,,,,,,7.93
2025,3,Vitinha,Portugal,Midfielder,Paris Saint-Germain,703,1,7.47,0,0,0,0,1,7.5,0,0,0,0,,,,,,,,,,,,,7.52
2025,4,Mohamed Salah,Egypt,Forward,Liverpool,657,1,7.78,1,1,0,1,0,7.43,0,0,0,0,,,,,,,,,,,,,7.38
2025,5,Raphinha,Brazil,Forward,Barcelona,620,1,7.8,0,0,0,1,0,8.24,1,1,0,0,,,,,,,,,,,,,7.65
2025,6,Achraf Hakimi,Morocco,Defender,Paris Saint-Germain,484,1,7.76,0,0,0,0,1,7.55,0,0,0,0,,,,,,,,,,,,,7.57
2025,7,Kylian Mbappé,France,Forward,Real Madrid,378,0,7.7,1,0,0,0,0,7.28,0,0,0,0,,,,,,,,,,,,,7.59
2025,8,Cole Palmer,England,Forward,Chelsea,211,0,7.63,0,0,0,0,0,0.0,0,0,0,0,,,,,,,,,,,,,7.34
2025,9,Gianluigi Donnarumma,Italy,Goalkeeper,Paris Saint-Germain,172,1,6.92,0,0,0,0,1,7.1,0,0,1,0,,,,,,,,,,,,,7.02
2025,10,Nuno Mendes,Portugal,Defender,Paris Saint-Germain,171,1,7.29,0,0,0,0,1,7.38,0,0,0,0,,,,,,,,,,,,,7.43
2025,11,Pedri,Spain,Midfielder,Barcelona,124,1,7.59,0,0,0,0,0,7.43,0,0,0,0,,,,,,,,,,,,,7.27
2025,12,Khvicha Kvaratskhelia,Georgia,Forward,Napoli  Paris Saint-Germain,123,1,7.36,0,0,0,0,1,7.59,0,0,0,0,,,,,,,,,,,,,7.66
2025,13,Harry Kane,England,Forward,Bayern Munich,112,1,7.73,1,0,0,1,0,7.7,0,0,0,0,,,,,,,,,,,,,7.36
2025,14,Désiré Doué,France,Midfielder,Paris Saint-Germain,74,1,7.32,0,0,0,0,1,7.37,0,0,0,0,,,,,,,,,,,,,7.49
2025,15,Viktor Gyökeres,Sweden,Forward,Sporting CP,56,1,8.0,1,0,0,1,0,7.36,0,0,0,0,,,,,,,,,,,,,8.14
2025,16,Vinícius Júnior,Brazil,Forward,Real Madrid,51,0,7.37,0,0,0,0,0,7.49,0,0,0,0,,,,,,,,,,,,,7.18
2025,17,Robert Lewandowski,Poland,Forward,Barcelona,49,1,7.27,0,0,0,0,0,7.41,0,0,0,0,,,,,,,,,,,,,7.16
2025,18,Scott McTominay,Scotland,Midfielder,Manchester United  Napoli,45,1,7.22,0,0,0,1,0,0.0,0,0,0,0,,,,,,,,,,,,,6.96
2025,19,João Neves,Portugal,Midfielder,Paris Saint-Germain,40,1,7.45,0,0,0,0,1,7.36,0,0,0,0,,,,,,,,,,,,,7.13
2025,20,Lautaro Martínez,Argentina,Forward,Inter Milan,37,0,7.2,0,0,0,0,0,7.31,0,0,0,0,,,,,,,,,,,,,7.29
2025,21,Serhou Guirassy,Guinea,Forward,Borussia Dortmund,25,0,7.26,0,0,0,0,0,7.44,1,0,0,0,,,,,,,,,,,,,7.48
2025,22,Alexis Mac Allister,Argentina,Midfielder,Liverpool,21,1,7.24,0,0,0,0,0,7.54,0,0,0,0,,,,,,,,,,,,,6.91
2025,23,Jude Bellingham,England,Midfielder,Real Madrid,21,0,7.45,0,0,0,0,0,7.37,0,0,0,0,,,,,,,,,,,,,7.75
2025,24,Fabián Ruiz,Spain,Midfielder,Paris Saint-Germain,20,1,7.27,0,0,0,0,1,7.17,0,0,0,0,,,,,,,,,,,,,7.38
2025,25,Denzel Dumfries,Netherlands,Defender,Inter Milan,20,0,7.03,0,0,0,0,0,7.18,0,0,0,0,,,,,,,,,,,,,7.26
2025,26,Erling Haaland,Norway,Forward,Manchester City,18,0,7.27,0,0,0,0,0,7.41,0,0,0,0,,,,,,,,,,,,,7.43
2025,27,Declan Rice,England,Midfielder,Arsenal,13,0,7.36,0,0,0,0,0,7.33,0,0,0,0,,,,,,,,,,,,,7.56
2025,28,Virgil van Dijk,Netherlands,Defender,Liverpool,7,1,7.28,0,0,0,0,0,7.31,0,0,0,0,,,,,,,,,,,,,7.46
2025,29,Florian Wirtz,Germany,Midfielder,Bayer Leverkusen,5,0,7.68,0,0,0,0,0,7.84,0,0,0,0,,,,,,,,,,,,,7.53
2025,30,Michael Olise,France,Forward,Bayern Munich,4,1,7.91,0,1,0,0,0,7.62,0,0,0,0,,,,,,,,,,,,,7.4
